Étape,Pipeline microbiome-hybrid,Réf. SOTA,Verdict,Commentaire
Retrait des amorces,Amorces déjà retirées (protocole Schloss = amorces de séquençage) ; pas de trim 5',SOTA §4 (cutadapt),Conforme,Le retrait d'amorces est requis ; ici il est natif au protocole. Correctement identifié et non refait à tort.
Unité de séquence,ASV via DADA2 1.38.0 (pas d'OTU 97%),"[1,2,3]",Conforme (exemplaire),ASV = standard actuel ; remplace les OTU. Choix central respecté.
Modèle d'erreur / multi-run,learnErrors PAR run ; 3 runs gardés distincts puis fusionnés,[1] + [19],Conforme (exemplaire),Modèle d'erreur par run = pratique DADA2 correcte ; garder les runs distincts pour estimer l'effet batch va au-delà du minimum.
Filtrage qualité,"filterAndTrim truncLen 230/190, maxEE c(2,2), truncQ 2, maxN 0, rm.phix",[1],Conforme,Paramètres alignés sur le tutoriel DADA2 de référence ; troncatures justifiées sur les profils qualité.
Chimères,removeBimeraDenovo (consensus) sur la table fusionnée,[1],Conforme,Retrait des chimères après fusion = pratique multi-run recommandée.
Base taxonomique,"SILVA v138.2 (naïve Bayes, tryRC) + addSpecies",[4],Conforme (à jour),SILVA 138.x est la version courante ; version explicitement citée (bon point reproductibilité).
Contrôle positif (mock),"6 mocks Zymo validés par BLASTn vs référence 16S ancien lot ; 8/8 taxons, ~100% lectures Zymo, 0 ASV parasite",[19],Conforme (exemplaire),Validation mock explicite et quantifiée = exigence Combrink pleinement remplie ; choix du bon lot de souches documenté.
Contrôles négatifs — présence,"Blancs d'extraction + témoins PCR séquencés sur les 3 runs, conservés dans la table",[19] + [7],Conforme (prérequis rempli),Prérequis de la décontamination satisfait : les blancs sont séquencés et disponibles.
Décontamination — exécution,"decontam pas encore exécuté (planifié, étape suivante)",[7] + [19],À faire (planifié),"L'étape la plus attendue par un relecteur en microbiome hôte/faible biomasse. Prérequis prêts, exécution à venir."
Arbre phylogénétique,Aucun arbre construit à ce stade,[6] SEPP,À faire,Nécessaire pour UniFrac. SOTA privilégie l'insertion de fragments (SEPP) plutôt qu'un arbre de novo.
Diversité α,Non commencée,[19],À faire,"Indices complémentaires (richesse, Shannon, Faith PD) + modèles mixtes adaptés au plan."
Diversité β,Non commencée,[10] UniFrac,À faire,Bray-Curtis + UniFrac pondéré/non pondéré ; PERMANOVA + PERMDISP (dispersion) attendus.
Normalisation,Non décidée,"[8,9]",À décider,Choix à justifier (raréfaction vs compositionnel) + test de robustesse. Ne pas raréfier par réflexe.
Abondance différentielle,Non commencée,"[11,12,13,14,15,16]",À faire,"Consensus : lancer ≥2 méthodes (ALDEx2 + ANCOM-BC2, ± MaAsLin2) et rapporter l'accord."
Fonction prédite,Non réalisée (le manuscrit d'origine utilisait PICRUSt1),[17] PICRUSt2,À faire (si pertinent),"Si fonction visée : PICRUSt2, NSTI rapporté, cadrage 'prédit ≠ mesuré'."
Reproductibilité,"Scripts versionnés git, runs.log, versions logicielles tracées, corrections métadonnées flaggées",[18] + §9 SOTA,Conforme (exemplaire),Traçabilité complète ; dépôt SRA/ENA + métadonnées MIxS restent à faire avant soumission.
